Blog	here	china	want	how	re	service	tech	than	best	country	much	things	has	support	devices	time	data	so	internet	million	one	open	future	take	uk	technology	world	an	at	tv	social	more	company	its	startup	last	be	by	into	up	us	next	customer	this	high	could	system	should	ve	off	web	government	does	work	after	office	them	they	network	another	do	we	security	way	was	computing	power	market	ibm	can	tablets	still	not	now	year	online	price	only	desktop	using	t	business	your	sales	storage	you	help	ceo	ces	android	launch	mobile	linux	some	e	facebook	cloud	software	nokia	keep	privacy	need	based	years	i	well	pc	he	samsung	companies	even	new	features	m	against	three	if	make	just	deal	down	digital	smartphone	may	first	long	get	many	public	two	most	services	businesses	source	big	google	back	ipad	have	ios	latest	like	about	but	phone	my	end	over	free	top	enterprise	report	news	been	no	when	iphone	platform	good	week	or	there	all	what	store	windows	his	tablet	customers	users	microsoft	apple	app	use	from	six	out	g	their	which	why	will	apps	percent	other
ZDNet | Indonesia BizTech RSS	0	1	0	1	0	2	0	2	0	1	1	0	3	0	0	1	0	0	0	4	0	0	0	1	0	0	0	0	0	0	0	0	2	5	0	2	4	5	1	2	1	0	0	1	3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	2	0	0	5	0	1	0	0	0	2	3	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	3	0	0	0	1	0	1	0	0	0	0	2	1	0	1	0	0	0	0	0	4	0	0	0	0	0	0	1	0	2	0	0	1	1	0	1	1	0	2	3	1	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	2	2	1	0	0	5	0	1	1
ZDNet | ZDNet UK Book Reviews RSS	0	0	0	7	1	1	0	2	0	0	1	0	0	0	0	1	8	2	6	0	2	0	3	3	0	4	3	4	0	0	3	2	1	2	0	0	4	2	1	0	0	1	0	15	1	0	0	0	0	0	1	0	4	1	0	0	1	3	0	0	1	2	0	2	0	4	0	0	0	4	0	0	2	0	0	0	0	2	2	0	2	1	2	1	0	5	1	1	0	0	0	0	0	3	0	0	0	0	0	0	4	0	1	0	0	2	2	2	0	0	1	4	0	0	0	0	1	2	1	0	0	2	0	3	0	0	1	1	3	0	1	0	1	0	7	0	0	0	0	0	1	0	6	7	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	1	1	7	0	0	1	0	0	0	0	3	0	0	4	0	1	0	0	0	1	0	0	0	0
ZDNet | 500 words into the future RSS	3	0	2	10	3	0	4	0	0	0	2	3	3	0	3	4	0	1	2	0	1	0	3	0	2	2	5	1	2	0	0	1	0	0	0	0	4	0	0	2	0	1	0	1	0	0	1	2	1	0	3	0	1	4	0	2	1	5	0	0	2	7	2	0	0	2	0	0	0	3	2	1	4	4	2	2	0	0	0	0	2	0	2	0	0	5	2	1	0	0	1	0	0	1	0	0	4	1	0	1	0	2	0	0	5	0	2	0	0	0	1	2	1	1	0	0	2	1	0	0	1	1	1	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	1	0	0	2	5	3	1	2	0	1	0	0	1	0	0	1	0	0	0	0	0	0	2	2	4	6	0	8	0	2	1	0	4	1	0	1	2	0	0	0	0	0	5	0	2	0	0
ZDNet | Five Nines: The Next Gen Datacenter RSS	0	0	0	0	1	0	0	1	0	0	0	1	0	3	0	0	12	0	0	0	1	0	0	0	0	4	0	1	1	0	0	1	0	1	1	0	3	1	0	3	1	1	1	0	1	2	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	4	0	2	4	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	2	0	0	0	0	1	0	1	0	0	0	0	0	0	0	10	0	0	0	0	0	1	1	0	1	0	0	1	0	0	1	0	0	3	0	0	0	0	3	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	1	1	0	2	1	0	2	0	1	0	1	0	0	3	0	1	0
Latest topics for ZDNet in Security	0	0	1	4	0	2	2	0	0	3	0	7	4	0	2	1	4	0	11	0	1	2	0	0	0	0	1	3	2	0	1	4	1	8	0	1	2	4	3	1	1	0	0	2	1	1	1	0	0	0	0	0	0	0	0	1	0	0	3	0	0	1	10	2	2	1	2	0	0	1	1	1	0	1	2	0	0	1	0	0	0	0	1	0	2	1	0	0	1	0	2	0	1	0	0	0	1	1	0	0	0	0	0	1	1	1	0	0	2	0	1	2	0	1	1	0	1	0	1	0	4	0	0	1	1	0	0	1	1	0	2	2	0	2	1	0	0	0	1	0	1	1	1	2	0	0	0	0	0	0	3	2	2	1	1	0	0	0	0	1	0	1	0	0	0	2	0	0	0	2	9	0	0	0	0	0	1	0	1	4	2	3	0	0	0
ZDNet | Barker Bites Back RSS	1	0	0	4	0	1	4	3	0	1	0	0	6	1	0	3	3	4	0	1	2	0	0	1	3	1	3	3	4	0	0	4	1	4	0	1	0	2	1	5	2	0	0	1	0	1	0	0	1	3	0	0	2	0	0	0	0	2	0	0	1	5	0	2	3	0	0	1	7	2	0	1	1	2	1	2	2	0	0	1	0	5	2	2	0	0	0	1	0	0	0	0	0	3	0	1	1	2	0	0	0	0	0	2	1	0	0	0	0	0	0	2	0	2	0	0	0	2	1	0	1	0	0	1	2	1	2	1	0	1	1	0	0	0	5	0	0	0	4	0	1	0	2	7	1	0	2	0	0	0	0	0	0	1	2	1	0	0	0	0	0	2	1	5	0	0	1	0	1	0	2	3	0	0	4	0	2	0	1	0	0	1	0	0	2
ZDNet | Vive la tech RSS	1	0	0	2	0	2	2	1	0	1	0	0	6	0	0	0	2	0	1	2	2	0	2	1	0	2	0	3	0	0	1	3	1	6	0	0	4	2	2	5	1	1	3	1	0	2	0	0	0	2	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	3	0	1	2	0	2	3	1	0	0	0	0	0	0	0	1	1	0	0	1	2	0	0	0	6	0	0	0	2	1	0	0	0	2	0	1	1	0	0	0	0	0	1	0	1	0	1	0	2	0	1	2	0	1	0	3	0	0	0	2	0	0	1	0	0	2	0	0	4	0	0	1	0	0	0	0	2	0	0	2	5	1	0	0	0	0	2	1	1	0	1	0	0	2	2	5	1	0	0	0	0	1	1	0	0	0	0	6	0	0	1	3	0	1	2	0	0	0
ZDNet | Linux and Open Source RSS	3	0	0	0	1	2	0	0	4	0	0	1	1	1	1	1	2	0	2	0	3	9	2	0	0	1	2	0	5	1	0	2	2	3	0	0	2	0	1	2	0	2	0	1	0	0	1	0	1	0	0	0	0	1	1	0	3	1	1	1	0	1	1	1	5	0	0	0	0	0	0	1	0	3	0	0	0	0	6	1	2	0	1	0	0	2	0	0	5	3	0	0	22	1	0	0	8	4	0	0	0	1	0	2	0	2	1	0	0	2	1	6	0	0	0	0	0	1	2	0	0	0	0	3	2	1	1	0	0	1	1	0	0	8	1	1	0	0	5	0	2	1	0	3	0	0	0	0	2	1	4	1	2	2	1	0	0	1	1	0	3	5	4	1	1	3	0	0	0	1	0	0	0	2	2	2	4	0	0	0	0	0	1	1	3
ZDNet | Product Central RSS	0	0	0	1	1	1	1	1	0	0	0	1	2	3	1	0	4	1	1	0	3	1	0	1	3	3	0	1	3	0	0	3	3	3	1	1	3	2	1	1	1	0	0	2	4	0	0	0	0	2	1	0	0	1	0	0	1	0	1	0	0	2	3	0	0	0	4	2	1	4	3	1	1	4	2	1	2	0	4	2	0	2	3	0	0	6	0	0	1	1	1	7	0	0	3	0	3	0	0	1	0	1	1	0	0	0	0	0	1	0	0	10	2	2	0	0	1	1	0	0	0	0	3	3	2	0	1	0	1	1	0	0	0	1	0	0	0	0	5	2	2	1	1	5	0	0	3	4	0	0	3	1	0	1	1	1	0	3	1	0	3	2	1	1	0	0	0	4	0	1	1	3	2	1	0	0	0	3	3	0	0	4	3	1	0
ZDNet | iGeneration RSS	3	0	0	5	1	0	8	0	2	0	0	0	2	0	1	0	0	1	0	1	0	1	1	0	0	3	0	2	0	0	1	0	0	0	0	0	0	0	1	4	0	1	0	6	0	0	2	1	3	1	0	0	0	0	0	0	0	0	0	0	1	4	0	0	0	0	0	0	0	3	0	0	3	0	2	2	0	0	0	3	2	0	5	0	0	5	0	0	0	9	0	4	0	5	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	2	2	1	0	0	1	3	0	0	0	2	1	0	0	3	1	0	0	0	1	0	2	1	6	0	0	0	1	0	0	0	1	2	6	0	0	0	0	1	0	0	0	1	0	4	4	0	4	0	0	0	4	1	0	0	3	0	2	3	7	7	0	2	0	2	2	14	0	1
Latest topics for ZDNet in Legal	0	1	0	0	0	0	0	1	0	0	0	0	12	0	0	0	4	0	0	8	0	2	1	0	0	1	2	2	1	0	0	2	0	7	0	1	0	2	0	1	2	0	1	6	0	0	0	0	0	3	0	0	0	0	5	0	0	2	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	2	0	1	2	0	0	0	0	1	0	0	0	2	0	0	0	0	1	2	0	1	1	0	5	1	0	0	0	1	2	0	1	1	0	0	1	1	1	2	1	0	0	2	0	9	0	0	4	0	2	0	0	1	2	0	1	6	1	1	0	0	3	3	2	0	0	0	0	2	0	0	3	0	2	2	0	0	1	2	6	7	2	1	3	0	1	0	0	1	0	1	0	0	1
ZDNet | London Calling RSS	3	0	0	2	0	1	1	1	0	0	0	0	3	1	1	1	5	1	0	0	5	0	0	0	8	0	0	4	6	0	0	2	1	2	0	1	4	5	2	2	0	0	0	1	0	5	0	2	0	2	4	3	0	0	4	0	0	1	2	0	0	0	0	0	1	0	0	1	2	0	1	0	2	4	4	1	0	3	0	0	3	0	1	1	0	4	0	0	0	0	0	4	0	2	0	0	0	0	2	0	0	2	0	1	0	2	3	3	4	0	0	0	0	0	0	0	0	1	1	0	2	0	2	5	0	0	1	0	0	1	0	1	0	1	0	5	1	3	2	0	0	1	0	5	2	0	1	1	0	0	1	3	2	1	0	0	0	0	1	1	0	0	0	3	0	0	1	1	2	2	2	7	0	0	2	0	0	1	0	2	1	3	0	2	1
Latest topics for ZDNet in Ibm	1	1	1	0	0	1	1	2	0	0	0	0	5	0	0	1	3	0	0	1	0	1	1	1	0	1	1	1	1	0	0	4	2	7	0	1	3	2	1	2	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	1	0	0	2	0	3	1	0	0	2	2	27	4	0	1	1	2	3	0	0	2	0	0	0	4	2	0	0	1	0	0	0	0	0	1	4	1	0	0	10	2	0	0	0	0	3	0	1	1	0	0	0	0	1	6	0	0	1	1	1	2	0	4	0	0	0	1	2	1	1	1	0	0	0	1	0	1	0	0	1	2	2	2	2	0	2	2	0	0	0	1	0	2	6	0	1	1	0	0	0	1	1	0	0	0	4	1	0	0	0	0	1	1	0	5	0	0	2	3	4	0	2	1	1	7	5	4	1
ZDNet | Benelux RSS	0	0	1	0	0	1	0	0	0	4	0	0	7	0	0	0	3	0	1	0	1	0	1	3	1	0	1	1	4	0	0	0	1	6	2	1	4	4	2	3	0	1	0	2	0	0	0	1	0	2	0	5	0	0	5	0	1	2	0	2	1	0	1	1	1	0	1	0	0	3	0	1	1	4	2	0	0	0	0	1	4	1	1	0	0	1	0	0	0	0	0	0	0	0	0	5	0	0	0	0	9	0	2	2	0	0	0	0	0	1	0	1	0	3	0	0	1	0	1	2	0	1	0	0	0	0	2	0	1	0	0	1	0	0	0	2	1	0	3	0	0	0	2	2	0	0	0	1	0	0	0	0	1	1	0	3	0	0	0	1	0	0	1	3	0	0	0	0	8	2	0	2	0	3	3	0	1	1	2	0	0	4	0	0	0
Latest topics for ZDNet in Collaboration	3	0	2	1	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	1	0	0	2	1	0	3	0	2	2	0	2	7	2	9	1	0	4	1	0	2	2	2	1	0	0	1	2	0	0	3	2	0	0	2	0	10	0	0	0	1	1	3	1	1	0	0	1	0	2	6	1	1	2	2	0	4	1	0	0	2	2	6	2	0	1	3	5	0	0	2	1	2	0	1	0	2	4	1	0	1	0	3	2	0	1	1	0	0	0	0	0	5	3	0	0	0	1	1	0	0	0	0	0	0	2	0	1	0	3	0	0	0	0	0	0	0	0	2	1	1	1	1	3	3	0	0	0	2	2	0	3	0	0	0	0	1	3	1	0	0	0	0	0	5	0	0	0	0	0	4	16	0	5	1	3	1	2	0	0	0	1	1	5	0	1
ZDNet | Beyond IT Failure RSS	2	0	0	4	2	0	0	1	0	0	0	1	1	0	0	3	1	0	1	0	3	0	0	0	0	3	4	5	2	0	7	1	2	1	0	0	2	0	0	0	2	0	0	4	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	1	1	0	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	1	10	0	0	0	1	0	2	0	0	0	0	0	0	0	1	1	2	0	0	0	2	0	0	0	0	0	0	0	1	1	5	0	0	0	0	0	1	1	0	0	9	0	0	0	1	2	0	0	0	1	0	0	0	0	1	0	0	3	0	0	0	2	2	0	0	0	0	0	2	6	0	1	0	1	0	0	0	0	0	2	0	0	1	0	0	4	0	1	0	0	0	0	0	5	0	0	0	0	0	2	2	0	0	2
ZDNet | Brazil Tech RSS	0	1	0	0	0	4	4	1	2	2	0	0	0	1	2	2	2	0	1	1	2	0	0	0	0	3	2	0	2	0	1	1	1	0	0	1	0	3	0	4	0	0	0	1	0	1	0	2	0	0	0	1	0	2	1	0	0	0	1	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	7	4	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	1	1	0	0	0	0	0	0	3	1	0	2	0	0	0	2	1	1	0	1	0	0	0	0	0	0	0	2	0	0	1	0	1	0	1	1	1	4	0	0	2	1	0	0	0	0	0	0	0	1	0	0	0	1	3	4	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	1	0	1	0	0	0	0	1	0	0	0	0	2	0	4	1
Latest topics for ZDNet in Ios	2	0	2	4	2	0	1	1	1	0	3	0	5	0	1	3	0	2	0	0	1	0	0	1	0	0	1	4	1	2	0	2	1	1	0	0	4	1	1	2	2	0	0	6	1	1	0	0	2	2	0	0	1	1	2	2	2	0	1	0	0	1	0	0	0	0	3	0	0	3	2	0	5	0	11	1	0	0	2	0	0	1	10	3	4	7	1	0	1	3	1	6	0	0	0	0	0	3	0	2	0	0	0	0	1	1	1	0	0	1	0	11	1	0	0	1	2	1	0	0	1	0	3	1	2	0	1	0	0	0	1	0	0	0	0	0	0	7	3	10	0	4	0	5	2	1	0	1	2	4	0	1	5	0	0	5	4	1	2	6	2	0	1	1	2	0	0	3	0	0	4	18	6	1	2	0	2	0	2	0	0	3	1	1	0
Latest topics for ZDNet in Ipad	2	0	1	1	0	0	0	3	5	0	0	1	2	0	2	1	0	1	0	0	1	0	0	0	0	0	0	2	2	2	0	4	0	1	0	1	4	1	3	2	2	0	0	9	1	0	0	0	0	1	0	0	0	1	0	2	1	0	0	0	1	1	0	1	0	0	0	0	2	1	1	0	3	0	12	1	0	0	0	0	1	1	2	1	2	1	0	0	1	5	0	7	0	1	0	0	0	0	0	1	0	0	0	1	6	0	0	0	0	0	0	5	0	0	0	1	0	0	0	0	0	0	0	2	2	0	1	0	0	0	3	0	0	0	0	0	1	14	1	10	0	1	0	3	1	2	0	3	0	7	2	2	5	0	0	3	8	1	6	6	0	1	2	1	2	0	0	3	0	1	3	17	3	2	1	3	1	1	1	0	0	0	3	0	1
ZDNet | Constellation Research RSS	0	0	0	5	1	0	0	0	0	0	0	4	1	0	0	0	2	0	2	0	1	1	2	2	0	2	0	0	2	0	2	1	0	1	0	1	4	0	0	1	0	1	0	2	0	0	0	0	2	0	0	0	1	3	0	0	0	3	0	0	0	3	2	0	2	1	1	0	1	3	0	0	2	0	1	1	0	0	0	0	0	3	4	0	0	5	1	0	0	0	0	0	0	2	0	5	1	0	0	0	5	1	0	1	0	0	0	0	0	0	1	2	1	0	0	1	1	0	0	0	0	1	0	1	1	0	0	0	0	1	2	0	0	1	1	1	0	0	2	0	2	0	2	1	0	0	1	2	0	0	1	0	0	1	2	0	2	2	1	1	0	0	2	2	0	0	0	0	1	2	0	0	0	0	3	0	0	0	2	1	1	4	0	0	2
ZDNet | Hardware 2.0 RSS	5	0	2	5	2	2	3	2	3	0	2	0	7	0	1	2	2	2	0	0	1	0	0	0	0	0	1	1	2	0	0	1	1	1	0	0	10	2	1	1	0	0	0	1	2	0	0	3	0	3	0	0	1	3	0	1	0	1	2	0	0	0	9	0	2	0	0	0	0	3	2	0	2	0	4	0	1	1	2	1	1	0	15	1	6	15	5	0	0	3	0	0	0	1	0	0	0	4	0	3	0	2	0	0	0	0	7	0	2	1	2	3	0	0	1	0	3	1	0	1	0	0	6	3	1	0	3	0	0	0	0	0	0	0	0	2	0	1	4	2	0	3	1	6	0	2	0	5	6	1	0	0	0	0	0	5	2	0	1	0	5	0	1	2	0	4	0	1	0	0	1	11	1	0	2	1	0	0	0	0	0	7	2	0	0
ZDNet | Laptops &amp; Desktops RSS	3	0	0	1	1	0	0	1	7	0	0	0	1	0	4	0	0	1	0	0	2	0	1	1	0	0	0	7	3	1	0	3	3	4	0	2	6	1	0	1	0	3	0	1	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	4	3	0	3	1	1	0	2	0	0	0	4	0	1	6	2	3	0	0	8	4	0	2	1	0	1	0	0	2	0	0	0	0	1	0	0	0	4	0	3	0	0	4	1	2	0	0	3	1	3	0	0	0	0	3	2	0	0	1	0	1	0	0	0	0	2	2	0	7	1	1	1	0	0	7	0	0	0	0	1	0	0	1	0	1	2	1	0	0	1	1	4	4	2	0	1	5	0	5	0	1	0	6	1	1	2	0	1	0	1	0	1	4	0	0	0
ZDNet | Next-Gen Partner RSS	0	0	1	1	0	3	0	2	0	0	0	1	1	1	0	0	4	0	1	2	2	1	0	0	0	0	0	2	2	0	0	2	1	2	0	0	1	2	2	3	0	1	2	2	1	0	0	0	0	0	2	0	0	0	0	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	1	0	0	0	1	0	0	0	0	0	1	0	0	0	21	1	0	0	0	0	2	2	0	0	0	0	0	3	0	5	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	4	2	0	10	2	1	1	1	0	0	2	0	3	0	0	0	0	0	0	1	0	0	2	0	0	2	0	0	0	4	0	0	1	0	0	0	0	2	0	0	0	0	6	0	2	0	0	0	0	0	0	0	1	5	4	0	0
Latest topics for ZDNet in Iphone	1	2	0	2	0	0	0	5	5	1	2	2	6	0	3	3	0	0	0	1	1	1	0	0	0	0	1	2	2	2	0	6	0	1	0	1	3	2	2	2	3	1	0	6	3	1	0	0	0	1	0	0	1	1	2	0	1	0	0	1	0	0	0	1	1	0	0	1	0	1	0	0	1	1	11	2	0	0	0	0	2	0	5	3	5	1	0	1	1	3	0	9	0	1	0	0	0	0	0	1	0	0	1	1	5	0	0	0	0	0	0	6	0	0	0	1	0	0	0	0	1	0	5	1	3	0	1	0	0	0	4	0	0	0	0	0	0	8	2	9	0	1	1	3	1	1	1	3	2	4	1	3	4	2	0	1	3	1	4	5	1	2	2	0	3	0	2	1	0	0	1	19	4	1	1	2	0	0	1	0	0	3	0	2	1
ZDNet | African Enterprise RSS	0	0	0	1	0	0	3	0	0	1	1	1	2	0	0	1	0	1	0	1	1	0	0	0	0	0	1	1	3	0	0	2	2	4	0	0	2	2	1	5	0	2	0	0	0	1	0	0	0	1	0	1	0	0	0	0	1	0	2	0	0	0	0	0	1	0	1	4	1	1	0	2	0	1	0	2	0	0	0	0	3	1	0	1	0	2	2	0	0	0	1	7	0	0	0	1	0	1	0	0	0	1	0	1	0	0	1	1	1	0	1	5	0	0	0	1	0	0	1	0	0	0	0	1	2	0	0	2	1	1	1	4	1	0	1	0	2	0	6	0	0	0	1	1	0	0	0	3	1	1	0	0	0	1	0	1	0	0	0	0	0	0	0	3	0	0	0	0	0	0	2	1	0	0	0	0	1	1	0	1	6	0	0	0	0
ZDNet | Digital Cameras &amp; Camcorders RSS	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0	9	2	0	0	0	0	14	0	0	0	0	0	2	0	0	0	0	3	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	1	0	0	2	0	0	1	0	0	0	0	0	1	0	2	0	0	0	0	0	1	0	0	1	0	0	2	0	0	18	5	1	0	0	0	0	1	0	0	4	0	0	2	0	0	0	2	1	0	0	0	0	0	0	0	3	0	2	1	0	1	3	0	0	4	0	1	1	0	0	1	0	0	0	0	0	0	0	0	2	1	0	0	0	0	1	0	0	0	1	2	1	2	0	1	0	0	1	0	1	0	0	0
Latest topics for ZDNet in Mobility	1	1	0	1	0	0	2	1	1	1	0	2	3	0	2	2	0	2	4	2	2	0	1	0	1	0	0	0	2	0	1	2	2	4	0	1	7	2	0	3	1	0	1	0	0	3	0	0	0	1	0	0	0	0	3	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	3	0	1	0	5	1	2	0	0	1	2	4	4	2	1	2	1	0	3	7	1	3	0	0	1	1	0	1	2	1	0	1	2	0	0	0	0	0	6	0	1	9	0	0	0	1	1	0	0	0	0	0	1	2	2	0	1	0	0	0	0	0	1	0	0	3	0	3	1	1	1	1	0	3	2	0	0	0	0	0	0	1	0	1	1	1	4	0	1	0	1	0	0	1	3	0	0	3	0	2	4	12	3	0	0	1	3	1	0	0	0	5	0	2	0
Latest articles for ZDNet in Small business: going big on mobility	0	0	0	1	0	2	0	1	0	0	0	0	2	0	2	2	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	1	1	3	0	0	0	2	3	4	1	0	2	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	3	0	0	1	0	4	0	0	0	0	0	0	2	0	11	0	2	0	1	1	2	0	0	0	8	0	1	0	1	4	0	0	1	0	0	2	1	2	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0	2	3	0	1	0	0	0	1	0	0	2	0	1	0	2	0	0	0	0	0	0	1	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	1	0	1	0	4	0	0
Latest topics for ZDNet in Hardware	1	0	0	3	1	0	0	0	1	0	2	2	4	0	0	0	0	0	2	0	2	0	1	1	0	0	2	5	6	1	0	2	2	4	0	0	4	2	0	2	1	0	0	0	3	1	0	0	0	3	0	0	1	0	0	1	2	0	0	0	0	1	0	1	0	0	1	0	0	2	1	0	1	0	0	0	1	0	3	0	0	3	4	1	4	2	0	3	14	0	0	0	3	0	0	0	0	0	0	0	0	1	0	0	0	2	2	0	6	0	0	6	1	1	3	0	1	0	1	0	0	1	3	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	5	0	1	0	1	4	0	2	2	1	2	1	1	0	0	0	1	1	0	0	0	0	4	3	3	1	0	2	0	0	0	0	0	4	0	0	5	0	4	0	0	0	0	5	0	0	2
Latest topics for ZDNet in Google	1	2	0	0	0	1	1	0	0	2	0	3	1	0	0	0	2	1	2	0	1	0	1	0	0	0	0	1	2	3	0	1	1	1	0	2	6	4	0	2	2	1	0	1	0	3	1	1	0	0	1	2	0	1	3	0	0	0	0	0	2	0	4	2	0	0	0	0	0	0	0	0	2	0	5	2	0	0	2	3	2	1	0	1	0	0	0	0	0	2	0	6	0	3	1	2	5	0	0	0	0	0	0	0	2	0	0	5	0	0	2	2	0	0	0	3	0	1	2	2	1	1	0	1	0	2	0	0	2	0	0	3	1	0	1	22	1	0	2	2	1	0	0	2	0	2	1	3	0	2	2	0	1	0	4	0	0	0	0	1	2	2	0	0	1	2	1	1	0	3	7	1	1	1	4	2	4	0	2	1	0	4	0	1	1
ZDNet | Small Business Matters RSS	0	0	1	0	0	7	0	2	0	0	0	0	1	1	1	2	1	0	0	2	1	0	0	1	0	2	0	0	1	0	2	4	5	4	4	0	0	4	3	1	0	0	2	1	0	1	3	2	0	0	1	0	0	1	0	0	0	0	0	1	1	1	0	1	1	1	0	1	0	0	2	1	0	0	2	2	0	0	0	0	2	2	3	5	0	1	4	0	0	0	0	8	0	1	1	0	3	0	0	1	0	0	2	1	0	0	0	0	0	3	1	0	0	0	2	0	1	1	1	0	0	2	2	0	2	0	0	1	0	0	0	0	3	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	1	0	0	0	0	0	0	1	0	0	4	0	0	1	1	0	0	2	0	0	0	1	1	0	1	0	2	0	1	1	3	1	4	0	1
ZDNet | Pulp Tech RSS	0	0	1	1	1	0	0	0	0	0	0	1	8	0	0	1	9	1	1	0	5	0	0	0	0	0	0	4	1	1	0	2	1	10	0	1	1	1	0	1	0	0	0	1	1	0	0	0	0	0	0	0	1	0	2	0	1	2	0	0	2	0	2	2	3	0	0	0	0	2	1	0	0	4	0	2	0	0	1	2	0	0	1	0	0	0	3	0	0	2	0	1	0	0	0	7	0	0	2	0	4	1	1	1	1	1	0	2	0	0	0	1	0	0	0	2	1	0	2	0	0	0	0	0	1	1	1	0	0	0	0	1	0	0	5	18	2	0	0	0	0	1	6	1	4	1	0	2	0	0	0	2	4	1	3	0	0	0	0	5	1	1	1	3	0	4	1	0	0	7	0	2	2	1	3	1	3	0	0	0	1	1	0	0	0
Latest topics for ZDNet in Browser	1	0	0	0	0	0	0	0	1	0	0	0	4	2	0	1	3	0	2	0	0	1	0	0	0	0	1	1	0	0	0	5	3	4	0	0	2	0	0	1	2	0	0	4	0	2	2	1	0	1	2	1	0	1	2	0	0	2	0	0	1	1	2	1	2	0	0	0	0	1	0	0	1	2	5	2	0	0	0	0	2	1	1	0	0	2	2	0	0	0	1	1	0	0	0	0	0	0	0	0	3	2	0	1	1	0	0	0	0	1	0	14	0	0	3	1	0	1	1	9	1	1	0	1	1	2	1	0	0	1	2	0	0	1	1	9	3	0	5	0	0	0	1	4	0	1	1	1	1	0	0	1	0	2	4	1	0	1	0	0	2	1	1	1	0	5	0	0	0	3	11	2	1	0	6	0	2	0	4	2	1	5	1	0	2
Latest topics for ZDNet in It-Priorities	0	0	0	1	0	1	3	0	2	0	0	0	2	0	0	1	1	1	0	0	1	0	0	3	0	6	0	1	3	0	1	2	0	0	0	1	3	1	0	1	1	1	0	2	0	0	0	5	0	0	0	0	0	3	0	0	0	2	1	1	1	2	2	0	1	2	0	1	0	1	0	1	4	1	6	2	0	0	1	0	2	5	3	1	0	1	0	0	0	0	0	0	0	0	0	0	6	2	0	2	0	3	2	0	0	2	0	0	0	2	3	4	2	0	0	2	1	0	2	0	2	1	0	0	0	0	1	1	1	1	0	4	1	0	0	1	0	0	1	0	0	0	4	6	0	0	1	2	0	3	5	0	0	2	1	1	0	0	0	0	1	2	3	3	1	2	0	0	2	1	5	0	0	0	3	0	3	0	0	0	1	5	1	1	0
